"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1978,0.154556,0.132779,0.102883,0.123262,0.0671764,0.100349,0.0254521,0.0259249,0.019856,0.0144903,0.00968459,0.0046545,0.0034913,0.00285962,0.017433
"2",1979,1.5531,0.125771,0.107991,0.0835305,0.0995401,0.0539505,0.0801081,0.0201906,0.0204395,0.0156547,0.0114243,0.00763542,0.00366965,0.00275257,0.0159989
"3",1980,0.0441338,1.26348,0.102228,0.0875341,0.0671311,0.0793006,0.042571,0.0625812,0.0156195,0.015812,0.0121105,0.00883788,0.00590678,0.00283885,0.0145062
"4",1981,0.0578563,0.0357995,1.0207,0.0815251,0.0670751,0.0493799,0.0557782,0.0285741,0.0401275,0.0100153,0.0101388,0.00776534,0.00566691,0.00378747,0.0111218
"5",1982,0.389377,0.0469821,0.0289875,0.819,0.0636027,0.050845,0.0362708,0.0396428,0.0196651,0.0276163,0.00689268,0.00697765,0.00534421,0.00390005,0.0102607
"6",1983,0.150497,0.316026,0.0380001,0.0231907,0.633453,0.0475201,0.0365763,0.0250786,0.0263695,0.0130808,0.0183698,0.00458487,0.00464139,0.00355486,0.00941946
"7",1984,0.591672,0.122249,0.25606,0.0305441,0.0181851,0.484304,0.0353379,0.0264222,0.0176105,0.018517,0.00918548,0.0128995,0.00321954,0.00325923,0.00911071
"8",1985,0.118809,0.480821,0.0991406,0.206309,0.0241187,0.0140664,0.36625,0.0261,0.0190699,0.0127101,0.0133644,0.00662951,0.00931004,0.00232367,0.00892785
"9",1986,0.111992,0.0965612,0.390027,0.0799294,0.163216,0.0187151,0.010686,0.272134,0.0189777,0.013866,0.0092417,0.00971743,0.0048204,0.00676945,0.00818112
"10",1987,0.262773,0.0910876,0.0784487,0.315744,0.064,0.129227,0.0146365,0.00825033,0.20748,0.0144689,0.0105717,0.00704605,0.00740875,0.00367516,0.0113986
"11",1988,0.134948,0.213715,0.0739957,0.0634936,0.252655,0.0506173,0.100907,0.011277,0.00627418,0.157784,0.0110033,0.00803951,0.00535835,0.00563418,0.0114632
"12",1989,0.0645221,0.109694,0.173413,0.0597062,0.0503529,0.196843,0.0386778,0.0755554,0.00827805,0.00460564,0.115823,0.00807708,0.0059015,0.00393336,0.0125506
"13",1990,0.256279,0.052507,0.0892205,0.140816,0.0482379,0.0404705,0.157313,0.0307273,0.0596767,0.00653835,0.00363772,0.0914818,0.00637961,0.00466125,0.0130197
"14",1991,0.0422773,0.207907,0.0424115,0.0712641,0.109211,0.0353431,0.0280092,0.103706,0.0195602,0.0379887,0.00416214,0.00231568,0.0582349,0.0040611,0.0112552
"15",1992,0.0653214,0.0342846,0.167793,0.0338079,0.0549888,0.0791375,0.0240475,0.0180604,0.0643352,0.0121344,0.0235668,0.00258204,0.00143656,0.0361268,0.00950169
"16",1993,0.0562584,0.0530468,0.027756,0.134762,0.0265889,0.0415297,0.0573894,0.016845,0.0123397,0.0439569,0.00829083,0.016102,0.00176418,0.00098153,0.0311756
"17",1994,0.127454,0.0456549,0.042879,0.0222092,0.104988,0.0196726,0.0291785,0.0385807,0.0109705,0.00803644,0.0286276,0.00539953,0.0104867,0.00114895,0.0209428
"18",1995,0.0263046,0.103319,0.0368146,0.0341101,0.0170475,0.0752169,0.0131528,0.0183909,0.0233073,0.00662749,0.00485496,0.0172945,0.00326195,0.00633518,0.013346
"19",1996,0.0562964,0.0213128,0.0832219,0.0292091,0.0260085,0.0120379,0.0491802,0.00805338,0.0107413,0.0136128,0.00387083,0.00283557,0.0101009,0.00190517,0.011495
"20",1997,0.033634,0.0456887,0.0172302,0.0666143,0.0227761,0.0192807,0.00848316,0.033191,0.00526877,0.00702732,0.0089059,0.00253242,0.00185512,0.00660836,0.00876678
"21",1998,0.0252479,0.0273118,0.0369826,0.0138331,0.0523397,0.0171655,0.0139372,0.00591751,0.0225673,0.00358236,0.00477803,0.00605532,0.00172185,0.00126134,0.0104539
"22",1999,0.0308852,0.0204855,0.0220679,0.0295632,0.0107503,0.0385183,0.0119613,0.0092695,0.00380601,0.0145148,0.00230409,0.00307312,0.00389464,0.00110745,0.00753497
"23",2000,0.0766106,0.0251428,0.0166741,0.0179552,0.0240324,0.00872422,0.0311829,0.00966649,0.00748401,0.00307289,0.011719,0.00186028,0.00248117,0.00314446,0.00697772
"24",2001,0.0921639,0.0623653,0.0204639,0.013565,0.0145921,0.0194919,0.00705567,0.0251673,0.00779295,0.00603347,0.00247731,0.00944761,0.00149972,0.00200028,0.00816032
"25",2002,0.0186294,0.07503,0.050765,0.0166525,0.0110309,0.0118504,0.0157996,0.00571137,0.0203571,0.0063035,0.00488031,0.00200383,0.0076419,0.00121308,0.00821862
"26",2003,0.0156052,0.0151654,0.0610678,0.0413,0.0135339,0.00894749,0.00958521,0.0127538,0.00460529,0.0164147,0.00508274,0.00393517,0.00161576,0.00616195,0.00760513
"27",2004,0.0171361,0.0127028,0.0123415,0.0496648,0.0335383,0.0109591,0.0072157,0.00770739,0.0102388,0.00369716,0.0131778,0.00408046,0.00315918,0.00129714,0.0110523
"28",2005,0.0121438,0.0139497,0.0103389,0.0100403,0.0403616,0.0272009,0.00886259,0.00582326,0.00621304,0.00825368,0.00298034,0.0106228,0.00328932,0.00254666,0.00995507
"29",2006,0.0285385,0.00988527,0.0113525,0.00840884,0.00815454,0.0326929,0.0219479,0.00713133,0.00467866,0.00499182,0.00663136,0.00239453,0.00853484,0.00264278,0.0100444
"30",2007,0.0865257,0.0232312,0.00804504,0.00923393,0.00683067,0.0066075,0.0263955,0.0176747,0.00573482,0.00376245,0.00401428,0.00533276,0.00192561,0.00686348,0.0102027
"31",2008,0.0478407,0.0704274,0.0189021,0.00654002,0.007491,0.00551943,0.00530886,0.0211216,0.0141119,0.0045788,0.00300402,0.00320509,0.00425779,0.00153745,0.013626
"32",2009,0.0132822,0.0389449,0.057321,0.0153771,0.00531407,0.00607408,0.00446458,0.00428581,0.0170147,0.011368,0.00368849,0.00241991,0.00258189,0.0034299,0.0122151
"33",2010,0.0782567,0.0108116,0.0316917,0.0466109,0.012481,0.00429926,0.00489569,0.00358748,0.00343237,0.0136265,0.00910423,0.00295399,0.00193803,0.00206775,0.0125295
"34",2011,0.0330908,0.0637026,0.00879877,0.0257755,0.0378512,0.010108,0.00347091,0.00394235,0.00288084,0.00275628,0.0109425,0.00731094,0.00237214,0.00155629,0.011722
"35",2012,0.0929498,0.0269369,0.051844,0.00715667,0.0209347,0.0306644,0.0081646,0.00279688,0.00316845,0.00231532,0.00221521,0.0087944,0.00587576,0.00190647,0.0106717
"36",2013,0.126962,0.0756668,0.0219245,0.0421781,0.0058159,0.0169796,0.0248148,0.00659497,0.00225465,0.00255419,0.00186645,0.00178575,0.00708945,0.00473664,0.0101397
"37",2014,0.0707686,0.10333,0.0615515,0.0178116,0.034156,0.00468324,0.0135835,0.0197464,0.00521757,0.00178376,0.00202073,0.00147663,0.00141279,0.00560878,0.0117693
"38",2015,0.0657361,0.0576008,0.0840709,0.0500293,0.0144415,0.0275728,0.00376151,0.0108653,0.0157242,0.0041548,0.00142042,0.00160913,0.00117585,0.00112501,0.0138383
"39",2016,0.0767152,0.0535144,0.0468848,0.068405,0.0406692,0.0117205,0.0223355,0.00304238,0.0087734,0.0126968,0.00335486,0.00114694,0.00129931,0.000949463,0.0120824
"40",2017,0.0473999,0.0624504,0.0435556,0.0381417,0.0555833,0.0329779,0.0094811,0.0180327,0.00245105,0.00706817,0.010229,0.0027028,0.000924017,0.00104677,0.0104989
"41",2018,0.0280387,0.0385858,0.0508278,0.0354319,0.0309893,0.0450619,0.0266679,0.00765128,0.0145199,0.00197357,0.00569125,0.00823633,0.00217628,0.000744013,0.00929653
"42",2019,0.0611048,0.0228246,0.0314035,0.0413442,0.0287814,0.0251123,0.0364142,0.0215014,0.00615369,0.0116779,0.00158728,0.0045773,0.00662423,0.00175031,0.00807531
"43",2020,0.0755979,0.049743,0.0185773,0.0255484,0.0335979,0.0233429,0.0203205,0.0294113,0.0173312,0.00496019,0.00941297,0.00127943,0.00368954,0.00533946,0.00791995
"44",2021,0.0916872,0.0615344,0.040476,0.0151038,0.0207283,0.0271595,0.0187897,0.0163005,0.0235041,0.0138503,0.00396395,0.00752242,0.00102246,0.00294851,0.0105963
"45",2022,0.0923722,0.0746382,0.0500827,0.0329273,0.0122721,0.0168063,0.0219664,0.0151665,0.0131286,0.0189304,0.0111551,0.00319259,0.0060586,0.000823498,0.0109091
